id,formula,avg_Z,avg_chi,avg_mass,std_atomic_radius,n_elements,contains_Cu,contains_W,frac_W,frac_Cu,frac_Fe,frac_Cr,frac_Mo,frac_Ta,frac_Nb,frac_V,frac_Ti,frac_Al,frac_Si,frac_Mn
1,Nb0.096-Ta0.621-Fe0.284,56.596403596403604,1.6032167832167834,137.01061534465535,9.428090415820632,3,0,0,0.0,0.0,0.2837162837162837,0.0,0.0,0.6203796203796205,0.09590409590409592,0.0,0.0,0.0,0.0,0.0
2,Mo0.198-Si0.426-Mn0.376,23.68,1.81988,51.61724792,11.469767022723502,3,0,0,0.0,0.0,0.0,0.0,0.198,0.0,0.0,0.0,0.0,0.0,0.426,0.376
3,Nb0.514-Mo0.486,41.486000000000004,1.87216,94.38071932,3.5,2,0,0,0.0,0.0,0.0,0.0,0.486,0.0,0.514,0.0,0.0,0.0,0.0,0.0
4,Mn0.235-Ta0.049-W0.5-V0.216,51.42,1.96983,124.70025069500001,8.257572282456872,4,0,1,0.5,0.0,0.0,0.0,0.0,0.049,0.0,0.216,0.0,0.0,0.0,0.235
5,Cr0.189-Mo0.127-Ta0.636-Al0.048,56.922,1.61934,138.3896084328,10.662434056068061,4,0,0,0.0,0.0,0.0,0.189,0.127,0.636,0.0,0.0,0.0,0.048,0.0,0.0
6,Ta0.189-Cr0.695-Cu0.116,33.841,1.6575999999999997,77.70777481999998,7.71722460186015,3,1,0,0.0,0.116,0.0,0.695,0.0,0.189,0.0,0.0,0.0,0.0,0.0,0.0
7,Ti0.059-Mn0.638-Cu0.303,26.035,1.6554600000000002,57.129063710000004,3.681787005729087,3,1,0,0.0,0.303,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.0,0.0,0.638
8,Cr0.641-W0.229-Mn0.13,35.58,1.806,82.57080595000001,3.559026084010437,3,0,1,0.229,0.0,0.0,0.641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13
9,Cr0.05-Si0.511-Ti0.439,18.012,1.7299600000000002,37.9651085,10.424330514074594,3,0,0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.439,0.0,0.511,0.0
10,Nb0.049-Cr0.951,24.833,1.65706,54.00070372,9.0,2,0,0,0.0,0.0,0.0,0.951,0.0,0.0,0.049,0.0,0.0,0.0,0.0,0.0
11,Si0.102-Mo0.654-Cu0.245,35.96503496503496,2.0698701298701296,81.09715384615384,11.897712198383164,3,1,0,0.0,0.2447552447552447,0.0,0.0,0.6533466533466533,0.0,0.0,0.0,0.0,0.0,0.10189810189810188,0.0
12,Mo0.683-Si0.238-Fe0.079,34.072,2.07205,76.623124,11.440668201153676,3,0,0,0.0,0.0,0.079,0.0,0.683,0.0,0.0,0.0,0.0,0.0,0.238,0.0
13,Ta0.065-Al0.935,16.900000000000002,1.60285,36.989350791,14.0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.935,0.0,0.0
14,Al0.182-Cr0.64-V0.048-Cu0.129,22.59359359359359,1.6804404404404403,48.87964967487488,5.11737237261468,4,1,0,0.0,0.12912912912912913,0.0,0.6406406406406406,0.0,0.0,0.0,0.04804804804804805,0.0,0.18218218218218218,0.0,0.0
15,Ta0.427-Ti0.213-Fe0.049-Cu0.311,46.15,1.64909,109.95962676,7.280109889280518,4,1,0,0.0,0.311,0.049,0.0,0.0,0.427,0.0,0.0,0.213,0.0,0.0,0.0
16,Mo0.647-Al0.353,31.762999999999998,1.96585,71.5976631258,10.5,2,0,0,0.0,0.0,0.0,0.0,0.647,0.0,0.0,0.0,0.0,0.353,0.0,0.0
17,Al0.282-V0.361-Ta0.263-Fe0.094,33.612,1.60897,78.8373978252,10.425329730996522,4,0,0,0.0,0.0,0.094,0.0,0.0,0.263,0.0,0.361,0.0,0.282,0.0,0.0
18,Si0.29-Mn0.192-Al0.256-Ti0.261,17.94794794794795,1.6643643643643644,38.131592113713715,9.40744386111339,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26126126126126126,0.25625625625625625,0.2902902902902903,0.1921921921921922
19,V0.048-Al0.952,13.48,1.6109600000000002,28.1316167472,3.5,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.0,0.952,0.0,0.0
20,Nb0.263-W0.287-Mn0.237-Mo0.213,46.891999999999996,1.92555,110.651994605,6.869315832017043,4,0,1,0.287,0.0,0.0,0.0,0.213,0.0,0.263,0.0,0.0,0.0,0.0,0.237
21,W0.186-Mn0.814,34.114,1.70066,78.91380863,4.0,2,0,1,0.186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.814
