id,formula,avg_Z,avg_chi,avg_mass,std_atomic_radius,n_elements,contains_Cu,contains_W,frac_W,frac_Cu,frac_Fe,frac_Cr,frac_Mo,frac_Ta,frac_Nb,frac_V,frac_Ti,frac_Al,frac_Si,frac_Mn,pct_transmuted,pct_radioactive,activation_proxy,thermal_proxy,ductility_proxy
1,Nb0.096-Ta0.621-Fe0.284,56.5964035964036,1.6032167832167834,137.01061534465535,9.428090415820632,3,0,0,0.0,0.0,0.2837162837162837,0.0,0.0,0.6203796203796205,0.0959040959040959,0.0,0.0,0.0,0.0,0.0,1.9127157400391273e-12,1.9127157400391273e-12,1.9127157400391273e-12,0.2615384615384616,0.7213966600448508
2,Mo0.198-Si0.426-Mn0.376,23.68,1.81988,51.61724792,11.469767022723502,3,0,0,0.0,0.0,0.0,0.0,0.198,0.0,0.0,0.0,0.0,0.0,0.426,0.376,8.444763999193584e-12,8.444763999193584e-12,8.444763999193584e-12,0.3208,0.5515396832888965
3,Nb0.514-Mo0.486,41.486,1.87216,94.38071932,3.5,2,0,0,0.0,0.0,0.0,0.0,0.486,0.0,0.514,0.0,0.0,0.0,0.0,0.0,1.0251239856984287e-11,1.0251239856984287e-11,1.0251239856984287e-11,0.3715,0.7259903381642512
4,Mn0.235-Ta0.049-W0.5-V0.216,51.42,1.96983,124.700250695,8.257572282456872,4,0,1,0.5,0.0,0.0,0.0,0.0,0.049,0.0,0.216,0.0,0.0,0.0,0.235,5.27797749949599e-12,5.27797749949599e-12,5.27797749949599e-12,0.41174999999999995,0.6058698584969917
5,Cr0.189-Mo0.127-Ta0.636-Al0.048,56.922,1.61934,138.3896084328,10.66243405606806,4,0,0,0.0,0.0,0.0,0.189,0.127,0.636,0.0,0.0,0.0,0.048,0.0,0.0,1.0907168501717024e-12,1.0907168501717024e-12,1.0907168501717024e-12,0.269,0.5924322970049933
6,Ta0.189-Cr0.695-Cu0.116,33.841,1.6575999999999995,77.70777481999998,7.71722460186015,3,1,0,0.0,0.116,0.0,0.695,0.0,0.189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3623,0.6646105139137025
7,Ti0.059-Mn0.638-Cu0.303,26.035,1.6554600000000002,57.12906371,3.681787005729087,3,1,0,0.0,0.303,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.0,0.0,0.638,1.4329147424163582e-11,1.4329147424163582e-11,1.4329147424163582e-11,0.48314999999999997,0.7741957610700188
8,Cr0.641-W0.229-Mn0.13,35.58,1.806,82.57080595000001,3.559026084010437,3,0,1,0.229,0.0,0.0,0.641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,2.9197322337637393e-12,2.9197322337637393e-12,2.9197322337637393e-12,0.36219999999999997,0.6538300190759948
9,Cr0.05-Si0.511-Ti0.439,18.012,1.7299600000000002,37.9651085,10.424330514074594,3,0,0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.439,0.0,0.511,0.0,0.0,0.0,0.0,0.32194999999999996,0.6208776605737393
10,Nb0.049-Cr0.951,24.833,1.65706,54.00070372,9.0,2,0,0,0.0,0.0,0.0,0.951,0.0,0.0,0.049,0.0,0.0,0.0,0.0,0.0,9.772582743039496e-13,9.772582743039496e-13,9.772582743039496e-13,0.29755,0.6466972477064219
11,Si0.102-Mo0.654-Cu0.245,35.96503496503496,2.0698701298701296,81.09715384615384,11.897712198383164,3,1,0,0.0,0.2447552447552447,0.0,0.0,0.6533466533466533,0.0,0.0,0.0,0.0,0.0,0.1018981018981018,0.0,0.0,0.0,0.0,0.6019980019980019,0.6729779709096089
12,Mo0.683-Si0.238-Fe0.079,34.072,2.07205,76.623124,11.440668201153676,3,0,0,0.0,0.0,0.079,0.0,0.683,0.0,0.0,0.0,0.0,0.0,0.238,0.0,0.0,0.0,0.0,0.4445,0.62086849546801
